Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
58,13.5,1767099739783835,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:19.118986
,13.5,1767099739783972,2,CYCLE_SYNC,"Cycle=5,From=4,Hop=1,RSSI=-101",2025-12-30 20:02:19.190173
,13.5,1767099739789305,3,CYCLE_SYNC,"Cycle=5,From=4,Hop=1,RSSI=-78",2025-12-30 20:02:19.190173
59,13.6,1767099739815845,1,BIDIR_LINK,"NodeID:4,RSSI:-98dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:19.119979
60,14.1,1767099740408586,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:19.736085
61,14.6,1767099740884470,3,BIDIR_LINK,"NodeID:2,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:20.214839
62,16.1,1767099742398581,4,BIDIR_LINK,"NodeID:1,RSSI:-94dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:21.752586
,16.1,1767099742398702,4,CYCLE_SYNC,"Cycle=0,From=1,Hop=0,RSSI=-94",2025-12-30 20:02:21.752586
63,16.2,1767099742484829,2,BIDIR_LINK,"NodeID:3,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:21.989715
64,16.2,1767099742492592,4,NEIGHBOR_ADDED,"NodeID:3,RSSI:-77dBm,Slot:3,Hop:2",2025-12-30 20:02:21.989715
65,16.2,1767099742492643,4,BIDIR_LINK,"NodeID:3,RSSI:-77dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:21.989715
66,16.6,1767099742817834,1,NEIGHBOR_ADDED,"NodeID:3,RSSI:-86dBm,Slot:3,Hop:2",2025-12-30 20:02:22.122395
67,18.0,1767099744286824,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:23.637513
68,18.0,1767099744286876,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:23.637513
,18.0,1767099744286996,2,CYCLE_SYNC,"Cycle=0,From=4,Hop=1,RSSI=-101",2025-12-30 20:02:23.638513
,18.0,1767099744292304,3,CYCLE_SYNC,"Cycle=0,From=4,Hop=1,RSSI=-78",2025-12-30 20:02:23.638513
69,18.6,1767099744911586,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:24.238729
70,19.1,1767099745388626,3,BIDIR_LINK,"NodeID:2,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:24.719023
71,20.7,1767099746988841,2,BIDIR_LINK,"NodeID:3,RSSI:-86dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:26.372381
72,20.7,1767099746996581,4,BIDIR_LINK,"NodeID:3,RSSI:-77dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:26.372381
73,22.5,1767099748789824,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:28.142798
74,22.5,1767099748795241,3,BIDIR_LINK,"NodeID:4,RSSI:-79dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:28.142798
75,23.1,1767099749414586,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:28.782498
76,23.6,1767099749892585,3,BIDIR_LINK,"NodeID:2,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:29.279122
77,25.2,1767099751492830,2,BIDIR_LINK,"NodeID:3,RSSI:-86dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:30.861138
78,25.2,1767099751500581,4,BIDIR_LINK,"NodeID:3,RSSI:-77dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:30.861138
79,27.0,1767099753292824,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:32.648334
80,27.0,1767099753298243,3,BIDIR_LINK,"NodeID:4,RSSI:-79dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:32.649337
81,27.2,1767099753472235,3,NEIGHBOR_ADDED,"NodeID:1,RSSI:-84dBm,Slot:1,Hop:0",2025-12-30 20:02:32.813182
,27.2,1767099753472390,3,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-84",2025-12-30 20:02:32.813182
,27.4,1767099753696658,4,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-95",2025-12-30 20:02:33.145733
82,27.6,1767099753913238,3,BIDIR_LINK,"NodeID:2,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:33.424362
83,27.7,1767099753916588,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:33.243762
84,30.3,1767099756515830,2,BIDIR_LINK,"NodeID:3,RSSI:-86dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:35.880515
,30.3,1767099756515943,2,CYCLE_SYNC,"Cycle=1,From=3,Hop=1,RSSI=-86",2025-12-30 20:02:35.881071
85,30.3,1767099756517244,1,NEIGHBOR_ADDED,"NodeID:3,RSSI:-86dBm,Slot:3,Hop:1",2025-12-30 20:02:36.281995
86,30.3,1767099756517359,1,BIDIR_LINK,"NodeID:3,RSSI:-86dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:36.281995
87,30.3,1767099756523588,4,BIDIR_LINK,"NodeID:3,RSSI:-77dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:35.880515
88,31.5,1767099757795865,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:37.130845
89,31.5,1767099757797204,1,NEIGHBOR_ADDED,"NodeID:4,RSSI:-105dBm,Slot:4,Hop:1",2025-12-30 20:02:37.349718
90,31.5,1767099757797276,1,BIDIR_LINK,"NodeID:4,RSSI:-105dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:37.351227
91,31.5,1767099757801239,3,BIDIR_LINK,"NodeID:4,RSSI:-78dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:37.349718
92,32.1,1767099758401835,2,RSSI_LOW,"From:N1,RSSI:-120dBm,Threshold:-115dBm,Status:REJECTED",2025-12-30 20:02:37.855604
93,32.1,1767099758407228,3,BIDIR_LINK,"NodeID:1,RSSI:-91dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:37.856620
94,32.1,1767099758407275,3,BIDIR_LINK,"NodeID:1,RSSI:-91dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:37.856620
