Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
71,19.2,1767187701080657,2,NEIGHBOR_ADDED,"NodeID:1,RSSI:-113dBm,Slot:1,Hop:0",2025-12-31 20:28:18.984845
72,19.2,1767187701086288,6,NEIGHBOR_ADDED,"NodeID:1,RSSI:-105dBm,Slot:1,Hop:0",2025-12-31 20:28:18.986845
,19.2,1767187701090816,3,CYCLE_VAL,"FirstCycle=1,From=1,RSSI=-102",2025-12-31 20:28:18.992845
,19.2,1767187701090923,3,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-102",2025-12-31 20:28:18.992845
,19.2,1767187701091028,2,CYCLE_VAL,"FirstCycle=1,From=1,RSSI=-113",2025-12-31 20:28:18.984845
,19.2,1767187701091132,2,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-113",2025-12-31 20:28:18.984845
,19.2,1767187701096650,6,CYCLE_VAL,"FirstCycle=1,From=1,RSSI=-105",2025-12-31 20:28:18.986845
,19.2,1767187701096753,6,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-105",2025-12-31 20:28:18.986845
73,19.7,1767187701564454,3,BIDIR_LINK,"NodeID:2,RSSI:-85dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:19.457958
74,19.7,1767187701567585,1,NEIGHBOR_ADDED,"NodeID:2,RSSI:-113dBm,Slot:2,Hop:1",2025-12-31 20:28:19.557562
75,19.7,1767187701567691,1,BIDIR_LINK,"NodeID:2,RSSI:-113dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:19.557562
76,19.7,1767187701570292,6,BIDIR_LINK,"NodeID:2,RSSI:-97dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:19.456957
77,19.7,1767187701574526,5,BIDIR_LINK,"NodeID:2,RSSI:-80dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:19.457958
78,19.7,1767187701575763,4,RSSI_LOW,"From:N2,RSSI:-120dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:19.457958
,19.7,1767187701584969,5,CYCLE_VAL,"FirstCycle=1,From=2,RSSI=-80",2025-12-31 20:28:19.465474
,19.7,1767187701585079,5,CYCLE_SYNC,"Cycle=1,From=2,Hop=1,RSSI=-80",2025-12-31 20:28:19.465474
79,20.3,1767187702170447,3,BIDIR_LINK,"NodeID:6,RSSI:-68dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:20.205466
80,20.3,1767187702170499,3,BIDIR_LINK,"NodeID:6,RSSI:-68dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:20.206467
81,20.3,1767187702170678,2,BIDIR_LINK,"NodeID:6,RSSI:-94dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:20.206467
82,20.3,1767187702173516,1,NEIGHBOR_ADDED,"NodeID:6,RSSI:-100dBm,Slot:6,Hop:1",2025-12-31 20:28:20.206467
83,20.3,1767187702180526,5,BIDIR_LINK,"NodeID:6,RSSI:-94dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:20.206467
,20.3,1767187702180756,5,CYCLE_VAL,"RESET! Got=1,Exp=2,From=6,RSSI=-94",2025-12-31 20:28:20.206467
84,20.3,1767187702181749,4,BIDIR_LINK,"NodeID:6,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:20.206467
,20.3,1767187702192124,4,CYCLE_VAL,"FirstCycle=1,From=6,RSSI=-100",2025-12-31 20:28:20.206467
,20.3,1767187702192227,4,CYCLE_SYNC,"Cycle=1,From=6,Hop=1,RSSI=-100",2025-12-31 20:28:20.207469
85,20.8,1767187702682324,5,NEIGHBOR_REMOVED,"NodeID:3,Reason:INACTIVE,Duration:20000ms,RSSI:-115dBm,WasBidir:YES",2025-12-31 20:28:20.617948
86,20.9,1767187702776650,2,BIDIR_LINK,"NodeID:3,RSSI:-85dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:20.700132
87,20.9,1767187702779540,1,NEIGHBOR_ADDED,"NodeID:3,RSSI:-100dBm,Slot:3,Hop:1",2025-12-31 20:28:20.700132
88,20.9,1767187702779592,1,BIDIR_LINK,"NodeID:3,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:20.700132
89,20.9,1767187702782293,6,BIDIR_LINK,"NodeID:3,RSSI:-65dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:20.700132
90,21.3,1767187703193876,4,BIDIR_LINK,"NodeID:3,RSSI:-90dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:21.112454
,21.3,1767187703194093,4,CYCLE_VAL,"RESET! Got=1,Exp=2,From=3,RSSI=-90",2025-12-31 20:28:21.112454
91,23.4,1767187705287673,2,RSSI_LOW,"From:N4,RSSI:-117dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:23.249380
92,23.4,1767187705293295,6,BIDIR_LINK,"NodeID:4,RSSI:-97dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:23.249380
93,23.7,1767187705583657,2,RSSI_LOW,"From:N1,RSSI:-121dBm,Threshold:-115dBm,Status:REJECTED",2025-12-31 20:28:23.476502
94,23.7,1767187705589279,6,BIDIR_LINK,"NodeID:1,RSSI:-98dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:23.579166
,23.7,1767187705589476,6,CYCLE_VAL,"Cycle=2,Progress=2/3,From=1,RSSI=-98",2025-12-31 20:28:23.580164
,23.7,1767187705599721,6,CYCLE_SYNC,"Cycle=2,From=1,Hop=0,RSSI=-98",2025-12-31 20:28:23.580164
95,23.8,1767187705673774,3,BIDIR_LINK,"NodeID:1,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-31 20:28:23.580164
