Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
88,17.7,1767178316195017,4,BIDIR_LINK,"NodeID:1,RSSI:-48dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:54.313301
,17.7,1767178316195165,4,CYCLE_VAL,"Cycle=0,Progress=3/3,From=1,RSSI=-48",2025-12-31 17:51:54.313301
,17.7,1767178316200414,5,CYCLE_VAL,"VALIDATED! Cycle=0,AutoSend=READY",2025-12-31 17:51:54.314302
,17.7,1767178316200506,5,CYCLE_SYNC,"Cycle=0,From=1,Hop=0,RSSI=-47",2025-12-31 17:51:54.315302
,17.7,1767178316205462,4,CYCLE_VAL,"VALIDATED! Cycle=0,AutoSend=READY",2025-12-31 17:51:54.314302
,17.7,1767178316205552,4,CYCLE_SYNC,"Cycle=0,From=1,Hop=0,RSSI=-48",2025-12-31 17:51:54.315302
89,17.7,1767178316213264,2,BIDIR_LINK,"NodeID:1,RSSI:-45dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:54.312300
,17.7,1767178316213422,2,CYCLE_SYNC,"Cycle=0,From=1,Hop=0,RSSI=-45",2025-12-31 17:51:54.313301
90,17.7,1767178316216669,6,BIDIR_LINK,"NodeID:1,RSSI:-54dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:54.313301
,17.7,1767178316216855,6,CYCLE_SYNC,"Cycle=0,From=1,Hop=0,RSSI=-54",2025-12-31 17:51:54.314302
91,18.2,1767178316673955,5,BIDIR_LINK,"NodeID:2,RSSI:-44dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:54.889964
92,18.2,1767178316677588,3,BIDIR_LINK,"NodeID:2,RSSI:-41dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:54.889964
93,18.2,1767178316679013,4,BIDIR_LINK,"NodeID:2,RSSI:-71dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:54.888964
94,18.2,1767178316681064,1,BIDIR_LINK,"NodeID:2,RSSI:-47dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:54.889964
95,18.2,1767178316701626,6,BIDIR_LINK,"NodeID:2,RSSI:-51dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:54.888964
96,18.7,1767178317161939,5,BIDIR_LINK,"NodeID:3,RSSI:-52dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:55.252092
97,18.7,1767178317167001,4,BIDIR_LINK,"NodeID:3,RSSI:-68dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:55.251091
98,18.7,1767178317168001,1,BIDIR_LINK,"NodeID:3,RSSI:-58dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:55.251091
99,18.7,1767178317185263,2,BIDIR_LINK,"NodeID:3,RSSI:-39dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:55.251091
100,18.7,1767178317189610,6,BIDIR_LINK,"NodeID:3,RSSI:-48dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:55.629125
101,19.2,1767178317635939,5,BIDIR_LINK,"NodeID:4,RSSI:-47dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.040855
102,19.2,1767178317638596,3,BIDIR_LINK,"NodeID:4,RSSI:-70dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.039855
103,19.2,1767178317642003,1,BIDIR_LINK,"NodeID:4,RSSI:-53dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.040855
104,19.2,1767178317659251,2,BIDIR_LINK,"NodeID:4,RSSI:-70dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.040855
105,19.2,1767178317662614,6,BIDIR_LINK,"NodeID:4,RSSI:-54dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.040855
106,19.6,1767178318112587,3,BIDIR_LINK,"NodeID:5,RSSI:-56dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.372614
107,19.6,1767178318115015,4,BIDIR_LINK,"NodeID:5,RSSI:-49dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.372614
108,19.6,1767178318115969,1,BIDIR_LINK,"NodeID:5,RSSI:-53dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.372614
109,19.7,1767178318133251,2,BIDIR_LINK,"NodeID:5,RSSI:-47dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.372614
110,19.7,1767178318136635,6,BIDIR_LINK,"NodeID:5,RSSI:-50dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.372614
111,20.1,1767178318593956,5,BIDIR_LINK,"NodeID:6,RSSI:-49dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:56.682738
